ID,실행순서,라운드,우선순위,영역,화면/기능,검증 시나리오,사전조건,기대결과,플랫폼,결과,비고
QA-001,1,R1 Smoke,P0,앱 진입,콜드 스타트,앱 최초 실행 후 스플래시와 세션 분기 확인,신규 설치 또는 로그아웃 상태,스플래시 후 로그인 화면 또는 세션 상태에 맞는 목적 화면으로 이동,iOS/Android,,
QA-002,2,R1 Smoke,P0,앱 진입,강제 업데이트 가드,최신 필수 버전보다 낮은 빌드로 실행,원격 버전 상향 설정 필요,업데이트 가드가 전체 화면을 막고 뒤로가기와 주요 동작이 차단됨,iOS/Android,,
QA-003,3,R1 Smoke,P0,인증,로그인 화면 노출,로그인 버튼과 게스트 진입 버튼이 정상 표시되는지 확인,로그아웃 상태,애플 로그인 구글 로그인 게스트 둘러보기 버튼이 정상 노출됨,iOS/Android,,
QA-004,4,R1 Smoke,P0,인증,애플 로그인,애플 로그인 성공 플로우 확인,애플 테스트 계정 준비,iOS에서 로그인 성공 후 섬 생성 화면 또는 홈으로 이동,iOS,,
QA-005,5,R1 Smoke,P0,인증,구글 로그인,구글 로그인 성공 플로우 확인,구글 테스트 계정 준비,로그인 성공 후 섬 생성 화면 또는 홈으로 이동,iOS/Android,,
QA-006,6,R1 Smoke,P0,인증,게스트 둘러보기,게스트 진입과 로그인 화면 복귀 확인,로그아웃 상태,비회원 둘러보기 진입 후 로그인하기 액션으로 로그인 화면 복귀,iOS/Android,,
QA-007,7,R1 Smoke,P0,세션,차단 세션 분기,차단된 계정 진입 시 차단 안내와 문의 화면 진입 확인,차단 상태 계정 준비,차단 다이얼로그가 중복 없이 노출되고 문의 내역 화면으로 진입,iOS/Android,,
QA-008,8,R1 Smoke,P0,섬 생성,여권 만들기 기본 검증,필수값 없이 제출 시 유효성 검증 확인,신규 가입 계정 준비,섬 이름 대표자명 등 필수 입력값 검증 메시지 노출,iOS/Android,,
QA-009,9,R1 Smoke,P0,섬 생성,이미지 업로드와 발급 완료,사진 선택 후 여권 발급과 섬 입장 확인,사진 접근 권한 허용 상태,사진 업로드 후 발급 완료 화면이 열리고 홈 진입 가능,iOS/Android,,
QA-010,10,R1 Smoke,P0,홈 셸,첫 진입 라우팅,로그인 또는 섬 생성 후 홈 셸 진입 확인,정상 로그인 완료 상태,하단 5탭이 있는 홈 셸이 깨짐 없이 노출,iOS/Android,,
QA-011,11,R1 Smoke,P0,홈 셸,하단 탭 전환,비행장 마켓 홈 도감 무주식 탭 전환 확인,로그인 완료 상태,각 탭 전환 시 앱바와 본문이 현재 탭 기준으로 정상 변경,iOS/Android,,
QA-012,12,R1 Smoke,P0,홈 셸,섬 선택 전환,섬 전환 후 연동 화면이 함께 바뀌는지 확인,계정에 섬 2개 이상 존재,선택한 섬 기준으로 홈 비행장 무주식 데이터가 동기화됨,iOS/Android,,
QA-013,13,R2 Core,P0,비행장,게이트 열기와 닫기,게이트 토글 상태 변경 저장 확인,로그인 상태와 선택 섬 존재,게이트 상태 변경 후 새로고침이나 재진입에도 유지됨,iOS/Android,,
QA-014,14,R2 Core,P0,비행장,섬 규칙 편집,규칙 입력 수정 저장 확인,선택 섬 존재,규칙 저장 후 비행장 방문 규칙 영역과 관련 화면에 반영됨,iOS/Android,,
QA-015,15,R2 Core,P0,비행장,도도코드 입력 복사 초기화,도도코드 등록 복사 리셋 흐름 확인,선택 섬 존재,유효한 코드 저장 후 복사 스낵바 노출 및 리셋 시 코드 제거,iOS/Android,,
QA-016,16,R2 Core,P0,비행장,방문 요청 대기열,대기열 증가와 요청 목록 표시 확인,다른 테스트 계정으로 방문 요청 생성,대기열 수가 증가하고 요청 목록 화면에서 요청자 목록 확인 가능,iOS/Android,,
QA-017,17,R2 Core,P0,비행장,승낙 조건 검증,도도코드 없을 때 승낙 제한과 최대 인원 제한 확인,대기 요청 존재 상태,도도코드 미등록 시 승낙 차단되고 슬롯 초과 선택 시 안내 메시지 노출,iOS/Android,,
QA-018,18,R2 Core,P1,비행장,방문자 현황,초대됨 도착함 상태가 섹션별로 맞게 보이는지 확인,방문 요청을 승낙한 상태,대기중 승인됨 방문중 정보가 올바른 섹션에 표시됨,iOS/Android,,
QA-019,19,R2 Core,P1,비행장,내 대기 요청,다른 섬에 보낸 내 요청 현황 표시 확인,계정이 다른 섬 방문 요청 보유,내 대기 요청 섹션에 활성 요청만 최신순으로 노출,iOS/Android,,
QA-020,20,R2 Core,P0,마켓,목록 로드와 새로고침,거래글 목록 로드와 당겨서 새로고침 확인,거래글 데이터 존재,목록이 최신 상태로 노출되고 새로고침 동작이 오류 없이 끝남,iOS/Android,,
QA-021,21,R2 Core,P0,마켓,검색과 카테고리 필터,제목 작성자 아이템명 기준 검색과 필터 확인,거래글 3건 이상 준비,검색어와 카테고리에 맞는 거래글만 노출,iOS/Android,,
QA-022,22,R2 Core,P0,마켓,빈 상태,검색 결과 없음 또는 게시글 없음 상태 확인,검색어 미일치 또는 빈 데이터,빈 상태 카드가 자연스럽게 노출되고 앱이 깨지지 않음,iOS/Android,,
QA-023,23,R2 Core,P0,마켓,거래글 등록,신규 거래글 작성과 목록 반영 확인,로그인 상태와 거래 가능한 계정,등록 완료 후 목록 또는 상세에 새 거래글이 반영됨,iOS/Android,,
QA-024,24,R2 Core,P0,마켓,내 글 수정 삭제 완료,내 거래글 수정 삭제 완료 처리 확인,내 거래글 1건 준비,수정 시 즉시 반영되고 삭제 또는 완료 처리 시 상태가 맞게 변경됨,iOS/Android,,
QA-025,25,R2 Core,P0,마켓,상세 화면 기본 정보,거래 상세의 제목 이미지 이동 방식 안내 확인,거래글 1건 준비,상세 상단 정보와 안내 카드가 누락 없이 표시됨,iOS/Android,,
QA-026,26,R2 Core,P0,마켓,거래 제안 제출과 취소,타인 글에 제안 후 상태 반영 확인,타인 거래글 1건 준비,내 거래 제안 상태가 상세와 관련 목록에 즉시 반영됨,iOS/Android,,
QA-027,27,R2 Core,P0,마켓,거래 제안 수락 거절,글 작성자가 제안을 수락 또는 거절하는 흐름 확인,내 글에 타인 제안 존재,수락 거절 결과가 양쪽 계정에 일관되게 반영됨,iOS/Android,,
QA-028,28,R2 Core,P0,마켓,도도코드 전송 페이지,수락 후 대상에게 초대 코드 전송 가능 여부 확인,거래 제안 수락 완료 상태,도도코드 전송 화면에서 대상 선택과 코드 전송이 가능,iOS/Android,,
QA-029,29,R2 Core,P0,마켓,도도코드 확인 페이지,상대방이 규칙 동의 후 코드 확인 가능한지 검증,초대 코드가 발급된 상태,규칙 동의 전과 후의 화면 상태가 올바르게 구분됨,iOS/Android,,
QA-030,30,R2 Core,P1,마켓,내 거래 관리,내 거래 페이지 진입과 상태별 목록 확인,내 거래 데이터 존재,대기중 거래중 완료됨 상태가 맞게 묶여 보임,iOS/Android,,
QA-031,31,R2 Core,P0,마켓,신고 플로우,신고 사유 선택과 결과 다이얼로그 확인,신고 가능한 거래글 준비,신고 사유 입력 후 완료 다이얼로그가 노출되고 중복 신고가 방어됨,iOS/Android,,
QA-032,32,R2 Core,P0,차단,유저 차단 영향,차단 후 마켓 게시물과 방문 요청에서 상호 비노출 확인,차단 가능한 상대 계정 준비,차단 이후 서로의 게시물과 요청이 보이지 않음,iOS/Android,,
QA-033,33,R2 Core,P0,알림,앱 내 알림함,알림 목록 정렬 개별 읽음 모두 읽음 확인,알림 데이터 존재,최신순 정렬과 읽음 처리 결과가 즉시 반영됨,iOS/Android,,
QA-034,34,R2 Core,P0,알림,실시간 거래 알림 모달,제안 수락 취소 관련 실시간 모달 노출과 중복 방지 확인,실시간 알림 발생 환경 준비,오래된 알림은 반복 노출되지 않고 새 알림만 모달 표시,iOS/Android,,
QA-035,35,R2 Core,P1,홈,대시보드 요약 카드,섬 정보 주민 슬롯 무주식 요약 도감 진행률 위시리스트 요약 확인,선택 섬과 도감 데이터 존재,각 카드가 선택 섬 기준 데이터로 채워짐,iOS/Android,,
QA-036,36,R2 Core,P1,홈,위시리스트 페이지,위시리스트 목록과 빈 상태 확인,위시리스트 데이터 유무 각각 준비,데이터가 있을 때 목록 노출 없을 때 빈 상태 노출,iOS/Android,,
QA-037,37,R2 Core,P1,도감,대시보드 로드,주민 박물관 수집 카테고리 대시보드 표시 확인,도감 데이터 로드 가능 상태,도감 데이터가 로드되고 카테고리별 진행률 카드 표시,iOS/Android,,
QA-038,38,R2 Core,P1,도감,카테고리 진입과 상세 시트,카테고리 페이지 진입과 아이템 상세 바텀시트 확인,도감 데이터 존재,아이템 상세가 열리고 상태 변경이 목록과 대시보드에 반영됨,iOS/Android,,
QA-039,39,R2 Core,P0,무주식,기본 입력,일요일 구매가 조절과 요일별 오전 오후 가격 입력 확인,선택 섬 존재,가격 증감 버튼과 직접 입력이 정상 동작함,iOS/Android,,
QA-040,40,R2 Core,P0,무주식,예측 결과,차트 표 빈 결과 패널 전환 확인,유효 입력과 무효 입력 케이스 준비,입력 조건에 따라 예측 차트 표 또는 빈 결과 안내가 적절히 표시됨,iOS/Android,,
QA-041,41,R2 Core,P1,무주식,섬별 저장 상태,섬을 바꿔도 입력값이 섬 단위로 분리 유지되는지 확인,섬 2개 이상 보유,섬별 무주식 입력과 예측 상태가 섞이지 않음,iOS/Android,,
QA-042,42,R2 Core,P0,설정,섬 정보 수정,섬 선택 시트와 섬 수정 화면 진입 확인,섬 1개 이상 존재,섬 목록 시트가 열리고 선택한 섬 수정 화면으로 이동,iOS/Android,,
QA-043,43,R2 Core,P1,설정,섬 삭제 가능 케이스,여러 섬 보유 시 특정 섬 삭제 확인,섬 2개 이상 존재,삭제 확인 후 대상 섬만 제거되고 나머지 섬은 유지됨,iOS/Android,,
QA-044,44,R2 Core,P1,설정,마지막 섬 삭제 방어,마지막 남은 섬 삭제 제한 메시지 확인,섬 1개만 존재,마지막 섬 삭제가 차단되고 안내 메시지가 표시됨,iOS/Android,,
QA-045,45,R2 Core,P0,설정,알림 설정 토글,거래 제안 도도코드 대기열 알림 토글 저장 확인,로그인 상태,토글 변경 시 즉시 반영되고 재진입 후에도 값 유지,iOS/Android,,
QA-046,46,R2 Core,P1,설정,공지사항,공지 목록과 상세 진입 확인,공지 데이터 존재,목록에서 상세 진입이 가능하고 본문이 정상 렌더링됨,iOS/Android,,
QA-047,47,R2 Core,P1,설정,고객센터 FAQ,FAQ 카테고리 필터와 펼침 동작 확인,FAQ 데이터 존재,카테고리 전환과 아코디언 펼침 접힘이 자연스럽게 동작,iOS/Android,,
QA-048,48,R2 Core,P0,설정,1대1 문의 작성,문의 분류 제목 내용 유효성 검증과 접수 확인,로그인 상태,필수값 검증 후 문의 접수 성공 시 이전 화면으로 복귀,iOS/Android,,
QA-049,49,R2 Core,P1,설정,문의 내역 관리,문의 목록 상세 삭제 흐름 확인,문의 1건 이상 존재,문의 상세 진입과 삭제가 가능하고 목록에서 제거됨,iOS/Android,,
