순서,ID,실행,PASS,FAIL,보류,라운드,우선순위,테스트 시점,상황/트리거,플랫폼,기능 영역,화면/기능,확인 목적,사전조건/데이터,실행 절차,기대 결과,증적,버그ID,비고
1,QA-GS-001,,,,,R1 Smoke,P0,매 빌드 시작 시,신규 설치 직후 첫 실행,iOS/Android,앱 진입,콜드 스타트와 스플래시 분기,앱이 첫 진입에서 올바른 목적 화면으로 가는지 확인,앱 삭제 후 재설치 또는 로그아웃 상태,앱 실행; 스플래시 종료까지 대기; 최종 진입 화면 확인,스플래시 후 로그인 화면 또는 세션 상태에 맞는 화면으로 자연스럽게 이동,,
2,QA-GS-002,,,,,R1 Smoke,P0,배포 후보 빌드 확인 시,기존 로그인 세션이 남아 있는 상태,iOS/Android,앱 진입,세션 복원,재실행 시 로그인 상태가 유지되는지 확인,이미 로그인 완료된 계정,앱 완전 종료; 다시 실행; 첫 화면과 사용자 상태 확인,별도 로그인 없이 이전 세션이 복원되고 홈 셸 또는 허용된 화면으로 진입,,
3,QA-GS-003,,,,,R1 Smoke,P0,앱 버전 정책 변경 후,필수 업데이트 대상 빌드로 실행,iOS/Android,앱 진입,강제 업데이트 가드,필수 업데이트 상황에서 앱 사용이 차단되는지 확인,원격 버전 설정으로 현재 빌드를 차단 상태로 준비,구버전 빌드 실행; 가드 노출 확인; 뒤로가기 및 탭 조작 시도,업데이트 안내 카드가 전체 앱을 막고 주요 화면 조작과 뒤로가기가 차단,,
4,QA-GS-004,,,,,R3 Edge,P1,세션/네트워크 로직 수정 후,앱 시작 시 네트워크 불가,iOS/Android,오류 처리,시작 시 네트워크 장애,초기 세션 로드 실패 시 복구 동선이 있는지 확인,오프라인 또는 서버 실패 상태,앱 실행; 에러 화면 노출 확인; 다시 시도 버튼 재검증,앱이 죽지 않고 에러/재시도 화면을 보여주며 복구 시 정상 진입 가능,,
5,QA-GS-005,,,,,R3 Edge,P1,푸시 초기화 로직 수정 후,알림 권한 미허용 상태로 첫 실행,iOS/Android,푸시,권한 거부 허용성,알림 권한이 없어도 앱 핵심 흐름이 막히지 않는지 확인,알림 권한 거부 상태,앱 실행; 세션 진입; 주요 화면 이동 확인,푸시 초기화 실패나 권한 거부가 있어도 로그인/홈 진입은 가능하고 치명 오류가 없음,,
6,QA-GS-006,,,,,R1 Smoke,P0,인증 UI 수정 후,로그아웃 상태,iOS/Android,인증,로그인 화면 기본 구성,로그인 진입 화면의 핵심 액션이 모두 노출되는지 확인,로그아웃 상태,로그인 화면 진입; 버튼/문구/이미지 확인,애플 로그인 구글 로그인 게스트 둘러보기와 약관 문구가 정상 표시,,
7,QA-GS-007,,,,,R1 Smoke,P0,애플 로그인 SDK 변경 후,애플 로그인 성공 케이스,iOS,인증,애플 로그인 성공,애플 로그인 성공 후 세션 분기가 맞는지 확인,애플 테스트 계정 준비,애플 로그인 수행; 권한 동의; 최종 도착 화면 확인,성공 시 신규 계정은 섬 생성으로 기존 계정은 홈 또는 허용 화면으로 이동,,
8,QA-GS-008,,,,,R2 Core,P1,애플 로그인 예외 처리 수정 후,사용자가 애플 로그인을 취소하거나 실패,iOS,인증,애플 로그인 취소/실패,실패 시 앱이 멈추지 않고 사용자가 다시 시도 가능한지 확인,애플 로그인 취소 가능 상태,애플 로그인 시작; 중간 취소 또는 실패 유도; 화면 상태 확인,로그인 화면에 그대로 남고 오류 안내만 노출되며 다른 버튼 사용 가능,,
9,QA-GS-009,,,,,R1 Smoke,P0,구글 로그인 SDK 변경 후,구글 로그인 성공 케이스,iOS/Android,인증,구글 로그인 성공,구글 로그인 성공 후 세션 분기가 맞는지 확인,구글 테스트 계정 준비,구글 로그인 수행; 계정 선택; 최종 도착 화면 확인,성공 시 신규 계정은 섬 생성으로 기존 계정은 홈 또는 허용 화면으로 이동,,
10,QA-GS-010,,,,,R2 Core,P1,구글 로그인 예외 처리 수정 후,사용자가 구글 로그인을 취소하거나 실패,iOS/Android,인증,구글 로그인 취소/실패,실패 시 복구 가능한지 확인,구글 로그인 취소 가능 상태,구글 로그인 시작; 취소 또는 실패 유도; 화면 상태 확인,로그인 화면이 유지되고 에러 스낵바 후 재시도 가능,,
11,QA-GS-011,,,,,R1 Smoke,P0,세션 진입 로직 수정 후,비회원 둘러보기 진입,iOS/Android,인증,게스트 모드 진입,회원가입 없이 읽기 전용 둘러보기가 되는지 확인,로그아웃 상태,게스트 둘러보기 선택; 게스트 메인 화면 진입 확인,비회원 둘러보기 화면이 열리고 카테고리 탐색이 가능,,
12,QA-GS-012,,,,,R1 Smoke,P0,게스트 화면 수정 후,게스트 화면에서 로그인으로 전환,iOS/Android,인증,게스트에서 로그인 복귀,게스트 모드에서 정상적으로 로그인 흐름으로 돌아가는지 확인,게스트 둘러보기 진입 상태,상단 로그인하기 선택,로그인 화면으로 복귀하고 이전 게스트 화면이 비정상적으로 남지 않음,,
13,QA-GS-013,,,,,R1 Smoke,P0,이용 제한 정책 수정 후,차단된 계정으로 앱 진입,iOS/Android,세션,차단 세션 분기,차단 사용자가 제한된 화면만 볼 수 있는지 확인,차단 상태 계정 준비,앱 실행; 차단 다이얼로그 확인; 문의 내역/이의 신청 화면 확인,차단 안내가 중복 없이 노출되고 문의 내역/이의 신청 화면으로 이동,,
14,QA-GS-014,,,,,R2 Core,P1,세션 메시지 처리 수정 후,로그아웃 또는 강제 로그아웃 직후,iOS/Android,세션,로그아웃 메시지와 스택 정리,로그아웃 후 이전 상세 화면 스택이 제거되는지 확인,로그인 상태에서 상세 화면 여러 개 진입,설정에서 로그아웃 수행; 뒤로가기 시도,로그인 화면으로 돌아가고 이전 상세 화면으로 복귀되지 않음,,
15,QA-GS-015,,,,,R1 Smoke,P0,온보딩/섬 생성 수정 후,신규 가입 계정이 첫 로그인,iOS/Android,섬 생성,여권 만들기 진입,첫 로그인 사용자가 섬 생성 화면으로 안전하게 들어오는지 확인,신규 가입 계정,로그인 완료; 자동 라우팅 확인,섬 생성 화면이 열리고 필수 입력 폼이 보임,,
16,QA-GS-016,,,,,R1 Smoke,P0,폼 유효성 검증 수정 후,필수값을 비우고 제출,iOS/Android,섬 생성,필수값 검증,빈 값 제출을 차단하는지 확인,섬 생성 화면 진입 상태,섬 이름/대표 주민 이름 미입력 상태로 제출,각 필수 항목에 검증 메시지가 표시되고 제출되지 않음,,
17,QA-GS-017,,,,,R2 Core,P1,이미지 업로드 로직 수정 후,사진 접근 권한을 거부한 상태,iOS/Android,섬 생성,이미지 권한 거부,권한이 없어도 앱이 비정상 종료되지 않는지 확인,사진 권한 거부 상태,사진 업로드 탭; 권한 거부 또는 선택 취소,미선택 상태를 유지하고 앱이 계속 사용 가능,,
18,QA-GS-018,,,,,R2 Core,P1,이미지 업로드/압축 수정 후,정상 사진 선택,iOS/Android,섬 생성,이미지 미리보기,선택한 이미지가 즉시 미리보기에 반영되는지 확인,사진 권한 허용 상태,사진 업로드; 갤러리에서 이미지 선택,원형 미리보기에 선택 이미지가 반영됨,,
19,QA-GS-019,,,,,R1 Smoke,P0,섬 생성 저장 로직 수정 후,정상 데이터로 섬 생성,iOS/Android,섬 생성,여권 발급 성공,생성 완료 후 발급 화면이 열리는지 확인,유효한 섬 이름/대표 이름/반구/과일 입력,폼 작성; 제출,여권 발급 완료 화면이 열리고 입력 정보가 반영됨,,
